epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.792,1.0787,0.87754,1.31617,0.82867,0.71308,0.79122,0.60026,0.91581,0.6949,1.15203,0.0670469,0.000332859,0.000332859
2,428.752,1.04433,0.82653,1.28893,0.82919,0.70339,0.78948,0.60118,0.91284,0.70153,1.15079,0.034014,0.000633216,0.000633216
3,643.024,1.0427,0.82263,1.29055,0.81517,0.67346,0.76418,0.57429,0.93314,0.75745,1.1813,0.000947989,0.000900573,0.000900573
4,862.866,1.05837,0.84406,1.30104,0.81061,0.67305,0.76751,0.57155,0.95328,0.75529,1.18403,0.0008515,0.0008515,0.0008515
5,1079.57,1.05001,0.82657,1.29235,0.81271,0.68785,0.77695,0.58222,0.94776,0.75057,1.18239,0.000802,0.000802,0.000802
6,1294.12,1.04385,0.81715,1.28866,0.80688,0.68019,0.77225,0.57971,0.94371,0.75471,1.18043,0.0007525,0.0007525,0.0007525
7,1511.87,1.02804,0.79102,1.2771,0.82729,0.68546,0.778,0.58604,0.93396,0.73553,1.17549,0.000703,0.000703,0.000703
8,1725.35,1.02602,0.77961,1.27468,0.8338,0.69508,0.78569,0.59179,0.93372,0.71373,1.16783,0.0006535,0.0006535,0.0006535
9,1936.11,1.01513,0.77057,1.26871,0.83386,0.69966,0.7889,0.59891,0.92423,0.71303,1.16042,0.000604,0.000604,0.000604
10,2148.38,1.00682,0.75826,1.2634,0.82838,0.70125,0.7921,0.59999,0.91915,0.70079,1.15665,0.0005545,0.0005545,0.0005545
11,2359.47,1.01724,0.68563,1.28229,0.82631,0.71275,0.7931,0.60521,0.90356,0.69547,1.14461,0.000505,0.000505,0.000505
12,2559.7,0.99971,0.66281,1.2662,0.83963,0.6993,0.79453,0.60463,0.90343,0.69061,1.14022,0.0004555,0.0004555,0.0004555
13,2759.84,0.98495,0.64331,1.25725,0.82362,0.71323,0.79632,0.60938,0.89347,0.68343,1.13696,0.000406,0.000406,0.000406
14,2960.1,0.97962,0.63233,1.25239,0.82767,0.71968,0.80323,0.6154,0.88731,0.67058,1.13458,0.0003565,0.0003565,0.0003565
15,3160,0.96635,0.61724,1.24554,0.83436,0.70952,0.79909,0.61173,0.89383,0.67273,1.1363,0.000307,0.000307,0.000307
16,3359.95,0.95267,0.60214,1.23493,0.834,0.71976,0.80026,0.61522,0.8878,0.67146,1.13535,0.0002575,0.0002575,0.0002575
17,3560.19,0.94716,0.59601,1.2343,0.85029,0.70933,0.80321,0.6164,0.88577,0.66368,1.13584,0.000208,0.000208,0.000208
18,3760.53,0.94005,0.58307,1.22111,0.83429,0.71868,0.80183,0.61532,0.88813,0.66726,1.1344,0.0001585,0.0001585,0.0001585
19,3960.05,0.93232,0.57617,1.21988,0.84046,0.71705,0.8024,0.61643,0.88614,0.66609,1.13202,0.000109,0.000109,0.000109
20,4159.98,0.92562,0.56953,1.21214,0.83591,0.72082,0.80237,0.61722,0.88854,0.66479,1.13304,5.95e-05,5.95e-05,5.95e-05
